true_label,prob_real,prob_fake
0,0.9999931,6.867639e-06
1,6.692321e-06,0.9999933
1,6.688678e-06,0.9999933
0,0.9999931,6.8589466e-06
1,7.5632215e-06,0.9999925
1,8.205035e-06,0.9999918
0,0.9999931,6.857468e-06
1,6.6354555e-06,0.9999933
1,6.6773073e-06,0.9999933
0,0.99999297,7.0820865e-06
1,6.654695e-06,0.9999933
0,0.9999931,6.8806976e-06
1,7.0199935e-06,0.99999297
0,0.9999931,6.9445905e-06
0,0.9999931,6.874388e-06
0,0.9999931,6.8990034e-06
0,0.9999931,6.8825348e-06
0,0.99999297,6.9913717e-06
1,7.732474e-06,0.99999225
1,6.7231667e-06,0.9999933
1,8.8219995e-06,0.9999912
0,0.9999931,6.916303e-06
1,6.6974158e-06,0.9999933
1,6.6168896e-06,0.9999933
0,0.9999931,6.8893123e-06
1,6.657996e-06,0.9999933
1,6.662277e-06,0.9999933
1,6.8351264e-06,0.9999932
1,6.823117e-06,0.9999932
0,0.9999931,6.8876107e-06
1,2.3916575e-05,0.99997604
0,0.9999931,6.9090643e-06
1,9.470243e-06,0.9999906
1,6.836443e-06,0.9999932
1,6.5820923e-06,0.99999344
0,0.9999931,6.8883137e-06
0,0.9999931,6.8932886e-06
0,0.9999931,6.91592e-06
0,0.9999931,6.8776208e-06
1,6.8235336e-06,0.9999932
0,0.9999931,6.8976615e-06
1,7.150208e-06,0.99999285
1,6.6749585e-06,0.9999933
1,6.5068043e-06,0.99999344
1,6.602405e-06,0.99999344
1,6.6125e-06,0.99999344
1,8.187072e-06,0.9999918
1,7.0558085e-06,0.99999297
0,0.9999931,6.888701e-06
0,0.9999931,6.9377065e-06
0,0.9999931,6.940234e-06
1,6.7899214e-06,0.9999932
0,0.9999931,6.8772993e-06
0,0.9999931,6.9419552e-06
1,6.698208e-06,0.9999933
1,6.6328234e-06,0.9999933
0,0.9999931,6.9104544e-06
0,0.99999297,7.0314777e-06
1,6.7202054e-06,0.9999933
1,6.6312487e-06,0.9999933
0,0.9999932,6.8342138e-06
1,6.7715946e-06,0.9999932
1,6.5837808e-06,0.99999344
0,0.9999931,6.859339e-06
1,6.4812643e-06,0.99999356
0,0.9999931,6.941942e-06
1,6.8547415e-06,0.9999931
1,6.619427e-06,0.9999933
0,0.9999931,6.9223606e-06
1,8.7024655e-06,0.9999913
0,0.9999931,6.9230937e-06
1,6.6437497e-06,0.9999933
0,0.9999931,6.9330504e-06
0,0.9999931,6.922823e-06
0,0.9999931,6.9294942e-06
0,0.9999931,6.859974e-06
0,0.9999931,6.854892e-06
0,0.9999931,6.904144e-06
1,6.648922e-06,0.9999933
1,6.6408998e-06,0.9999933
1,7.4860363e-06,0.9999925
1,6.720577e-06,0.9999933
1,6.6183666e-06,0.9999933
0,0.9999931,6.897615e-06
0,0.9999931,6.9188295e-06
1,6.6616158e-06,0.9999933
0,0.9999931,6.904045e-06
1,6.577932e-06,0.99999344
1,8.377051e-06,0.99999166
1,6.7407573e-06,0.9999932
1,8.866018e-06,0.9999912
0,0.99996936,3.058982e-05
0,0.9999932,6.853664e-06
1,6.955096e-06,0.9999931
1,1.5786958e-05,0.99998426
0,0.9999932,6.847673e-06
1,6.7437472e-06,0.9999932
0,0.9999932,6.8113363e-06
0,0.9999931,6.894347e-06
0,0.9999931,6.8627414e-06
1,6.579293e-06,0.99999344
1,6.9325874e-06,0.9999931
0,0.9999931,6.8680715e-06
1,6.680747e-06,0.9999933
1,7.700925e-06,0.99999225
0,0.9999931,6.8725917e-06
0,0.9999931,6.908741e-06
0,0.9999931,6.877286e-06
0,0.9999931,6.9467037e-06
0,0.99999297,7.024842e-06
0,0.9999931,6.900688e-06
1,6.7326505e-06,0.9999933
0,0.99999297,6.9900784e-06
1,7.222552e-06,0.9999927
0,0.9999931,6.9022412e-06
1,6.644485e-06,0.9999933
1,6.6352404e-06,0.9999933
1,7.3903607e-06,0.9999926
0,0.99999297,6.9854605e-06
1,6.5120685e-06,0.99999344
1,7.917717e-06,0.99999213
1,8.670472e-06,0.9999913
1,2.236006e-05,0.9999776
1,7.1597606e-06,0.99999285
1,6.6840294e-06,0.9999933
0,0.9999931,6.8763748e-06
1,7.652381e-06,0.9999924
0,0.9999931,6.9224e-06
1,6.877994e-06,0.9999931
0,0.9999931,6.9374355e-06
1,6.7341657e-06,0.9999933
